Bundling 6%
Bundling 17%
Bundling 64%
Bundling 70%
Bundling 75%
Bundling 80%
Bundling 85%
Bundling 91%
Bundling 98%
Bundling 100%
Getting composition
Composition          Explainer
Codec                h264
Output               ../projects/import-china-india-te/renders/ch13.mp4
Concurrency          8x
Rendered 0/4051
Rendered 1/4051, time remaining: 48m 44s
Rendered 2/4051, time remaining: 24m 25s
Rendered 3/4051, time remaining: 16m 18s
Rendered 4/4051, time remaining: 12m 13s
Rendered 5/4051, time remaining: 9m 47s
Rendered 6/4051, time remaining: 8m 10s
Rendered 7/4051, time remaining: 7m 4s
Rendered 8/4051, time remaining: 6m 51s
Rendered 9/4051, time remaining: 6m 54s
Rendered 10/4051, time remaining: 6m 15s
Rendered 11/4051, time remaining: 5m 43s
Rendered 12/4051, time remaining: 5m 18s
Rendered 13/4051, time remaining: 4m 58s
Rendered 14/4051, time remaining: 4m 40s
Rendered 15/4051, time remaining: 4m 27s
Rendered 16/4051, time remaining: 4m 23s
Rendered 17/4051, time remaining: 4m 22s
Rendered 18/4051, time remaining: 4m 10s
Rendered 19/4051, time remaining: 4m 9s
Rendered 20/4051, time remaining: 3m 57s
Rendered 21/4051, time remaining: 3m 46s
Rendered 22/4051, time remaining: 3m 35s
Rendered 23/4051, time remaining: 3m 43s
Rendered 24/4051, time remaining: 3m 34s
Rendered 25/4051, time remaining: 3m 26s
Rendered 26/4051, time remaining: 3m 21s
Rendered 27/4051, time remaining: 3m 24s
Rendered 28/4051, time remaining: 3m 26s
Rendered 29/4051, time remaining: 3m 19s
Rendered 30/4051, time remaining: 3m 12s
Rendered 31/4051, time remaining: 3m 15s
Rendered 32/4051, time remaining: 3m 9s
Rendered 33/4051, time remaining: 3m 3s
Rendered 34/4051, time remaining: 3m 5s
Rendered 35/4051, time remaining: 3m 0s
Rendered 36/4051, time remaining: 3m 1s
Rendered 37/4051, time remaining: 3m 1s
Rendered 38/4051, time remaining: 2m 56s
Rendered 39/4051, time remaining: 2m 52s
Rendered 40/4051, time remaining: 2m 48s
Rendered 41/4051, time remaining: 2m 51s
Rendered 42/4051, time remaining: 2m 48s
Rendered 43/4051, time remaining: 2m 50s
Rendered 44/4051, time remaining: 2m 46s
Rendered 45/4051, time remaining: 2m 48s
Rendered 46/4051, time remaining: 2m 44s
Rendered 47/4051, time remaining: 2m 41s
Rendered 48/4051, time remaining: 2m 37s
Rendered 49/4051, time remaining: 2m 39s
Rendered 50/4051, time remaining: 2m 40s
Rendered 51/4051, time remaining: 2m 38s
Rendered 52/4051, time remaining: 2m 35s
Rendered 53/4051, time remaining: 2m 36s
Rendered 54/4051, time remaining: 2m 34s
Rendered 55/4051, time remaining: 2m 32s
Rendered 56/4051, time remaining: 2m 33s
Rendered 57/4051, time remaining: 2m 31s
Rendered 58/4051, time remaining: 2m 29s
Rendered 59/4051, time remaining: 2m 28s
Rendered 60/4051, time remaining: 2m 26s
Rendered 61/4051, time remaining: 2m 29s
Rendered 62/4051, time remaining: 2m 27s
Rendered 63/4051, time remaining: 2m 29s
Rendered 64/4051, time remaining: 2m 26s
Rendered 65/4051, time remaining: 2m 28s
